school_id,school_name,school_email,school_phone,street,city,state,zip_code
1,Gerald Armstrong,za@mieti.fr,(985) 390-1175,Zodi River,Dabweru,NV,17933
2,Lenora Ramsey,ipbem@ak.sm,(778) 372-6930,Wijan Square,Gibkildo,MT,33520
3,Elizabeth Gill,soijoma@wusnewup.gi,(228) 819-8998,Bohez Pass,Uwduzuc,IA,30502
4,Luis Lowe,libwugki@obo.gl,(323) 971-9432,Zofo Grove,Obuowwiw,IA,51785
5,Derek Silva,puujakeg@soluzsej.tr,(403) 281-4563,Zopci Highway,Hewkihrah,NV,33101
6,Julia Lee,banjo@esuweuz.ee,(505) 999-3481,Wokse Heights,Ebtivja,NY,12639
7,Leila Owen,nof@hi.md,(652) 308-2947,Lisat Pike,Dugutpom,VT,11519
8,Lou Hopkins,pe@deflibos.lb,(656) 812-3438,Efegis Glen,Pedlilujo,IN,32260
9,Lettie French,ki@bool.pa,(336) 952-2305,Digud Parkway,Nepafke,WY,28559
10,Bertie Tran,he@mawnijrob.im,(270) 828-8021,Guze Mill,Edotija,MO,00603
11,Lizzie Carpenter,epaakma@nikzu.zm,(329) 481-5283,Ciwer Loop,Dulaja,NH,88115
12,Sophie Armstrong,jooki@ka.ci,(884) 964-8864,Polufe Grove,Bacgiez,VA,22692
13,Derrick Romero,id@ha.nl,(774) 812-7821,Tiga Lane,Kihegsa,CA,09696
14,Eric Alvarez,taup@ehi.us,(307) 983-6906,Vizeg Court,Ifiidziz,LA,58909
15,Ellen Ortega,gooji@avvi.ke,(718) 697-8003,Avewi Manor,Ifaurob,WY,31671
16,Ralph Bowman,juretbov@jahoc.li,(817) 399-4493,Dani Court,Esozeddec,SC,99145
17,Troy Morgan,okirazot@cor.ng,(661) 272-3568,Kufugi Pass,Ejboane,NJ,48387
18,Catherine Norman,pozrumfoh@dawfunlo.my,(482) 499-9580,Peefe Pass,Peicubos,AR,41801
19,Barry Munoz,kivkaro@nerrijico.pt,(482) 422-3561,Rirko Park,Ebcurte,MN,90968
20,Dylan Wilkerson,ropihsok@di.vi,(267) 693-7248,Ekci Loop,Juehijed,NH,98557
21,Kenneth Andrews,lelaze@wizam.vi,(435) 807-4033,Osiazi River,Pokejwo,IA,87278
22,Ina Duncan,fep@guci.vu,(870) 977-1978,Awola Square,Bigrani,CO,11697
23,Lottie Luna,hiwat@hi.edu,(308) 826-4340,Igur Avenue,Azsevmot,VT,14647
24,Rachel Hoffman,wacelot@efvo.ht,(330) 646-7998,Ehot Lane,Eluireuni,NV,36945
25,Jose Sanders,lelowon@ke.kz,(425) 986-9473,Alime Junction,Pizsijan,CO,82972
26,Lucile Holmes,adwutzuh@cuhovunu.wf,(754) 340-2704,Zirug Terrace,Puduef,WV,89131
27,Ernest Bennett,tew@wenvis.sl,(449) 413-9823,Kupi Trail,Nagwogva,MI,61154
28,Emilie Marshall,dolnecmic@obibauh.ni,(724) 636-1468,Zusud Point,Nepazrop,MA,97828
29,Mina Alvarez,zujpep@jabnu.ro,(711) 929-8106,Konmo River,Rifioj,SC,96582
30,Howard Aguilar,bep@jucgepik.jm,(259) 467-3345,Genves Place,Pelrini,MI,49738
31,Roxie Lucas,samilwog@hepreed.va,(771) 308-6023,Niav Road,Vujukjo,SC,60423
32,Katie Bell,sehifaf@beabwe.nz,(359) 963-8498,Wuvwap Street,Tamibcu,MS,42070
33,Emma Neal,gus@dirakok.tg,(360) 437-2182,Zomis Mill,Usitoddaf,IA,58623
34,Jean Wallace,puhuba@cancobve.tm,(865) 659-5154,Pishu Loop,Wumjohsu,NV,43945
35,Sally Delgado,wu@ujdu.com,(865) 631-7706,Cizuha Heights,Bekmain,MO,18577
36,Manuel Gibbs,to@zecil.ae,(526) 879-4939,Uhbej Manor,Luressuv,WA,51899
37,Owen Strickland,fedla@jionti.kz,(634) 431-7513,Ohbu Square,Mecoap,IN,81105
38,Elijah Holloway,tomuw@sa.vi,(848) 359-2099,Petov Manor,Dilhirub,MO,23014
39,Albert Todd,faklob@vo.es,(444) 220-3361,Rudiru Junction,Hekweika,IL,57784
40,Bernard Zimmerman,vejub@fer.ir,(714) 581-4425,Hage Court,Nihpibaga,CT,91108
41,Alma Howell,sec@vusilfin.mw,(505) 383-9762,Apiz Plaza,Nusicpam,LA,90281
42,Annie Dunn,lep@ujidot.au,(836) 817-8285,Nafa Mill,Gasapi,GA,96225
43,Dora Cruz,sid@sian.mg,(832) 510-7799,Jibin Lane,Miotzos,VT,90912
44,Violet Townsend,jus@ga.fm,(220) 731-6436,Uroor Parkway,Lotivi,AK,77384
45,Lucile Foster,gewifac@tutof.mm,(887) 518-8818,Urovuw Grove,Ozofesba,SC,52445
46,Randall Sandoval,sosoguj@ijaod.tn,(914) 817-2665,Ceode Trail,Ihestos,MO,64820
47,Emily Norman,verakdom@agcuhu.aq,(803) 405-4261,Rais Terrace,Gabmozi,NJ,10357
48,Addie Olson,fodjicat@cuaka.ki,(986) 888-2112,Vutmu Road,Ubfuwcu,VT,75066
49,Lulu Scott,waj@vek.mz,(777) 322-1512,Mawsep Manor,Abenehuk,LA,48727
50,Lizzie Hansen,zukaga@rapumfik.sd,(840) 398-3170,Bofku Boulevard,Gewsiduc,MA,68589
51,Mayme Wallace,burlo@rouwojel.bm,(443) 978-6677,Zostep Court,Cuzsufu,FL,20709
52,Katherine Leonard,cirekuh@vepar.je,(907) 673-9275,Wilnug Point,Ruremno,CT,41670
53,Shane Casey,tonvuh@mohkan.sl,(768) 984-4938,Ejisu Terrace,Tececaiv,HI,58705
54,Rebecca Bryan,harful@cusuc.ba,(723) 884-7926,Ipiuta Lane,Ocejiad,VA,53067
55,Hester Townsend,voto@rit.nr,(775) 927-5887,Papwi Key,Fifrohen,LA,07972
56,Gussie Gomez,seturpa@dov.ee,(618) 598-3444,Capon View,Lapunwu,NY,82885
57,Hettie Ramos,kahbipa@bahkaema.cm,(736) 620-6518,Roac Court,Uhjahok,NH,20814
58,Russell McDaniel,hetbektu@dovoco.ac,(973) 666-7445,Ajna Highway,Cadoun,MD,39545
59,Cecelia Herrera,oflov@mugke.sg,(743) 778-7368,Hereh Lane,Fuhovci,SD,16947
60,Callie Ferguson,sibihah@veabram.re,(916) 953-2480,Finoca Court,Cirazuga,NE,40030
61,Bryan Hawkins,men@vigubka.ug,(458) 551-1762,Jawoj Trail,Ikifiac,UT,71191
62,Fred Stevens,uf@vujciwni.zw,(589) 944-3780,Hudle Grove,Suluboro,LA,65544
63,Ellen Guzman,san@lartuk.ad,(735) 939-5117,Leli Pike,Ohoketdo,NH,89019
64,Jared Hines,siasaal@ojbosen.lk,(326) 365-7802,Zomon Square,Obieriso,WV,34374
65,Rosie Pena,avci@tofrib.is,(335) 694-4100,Fawja Terrace,Rutectac,AZ,42360
66,Carl Lloyd,movfubow@binupzot.ec,(555) 563-6836,Ojuri Glen,Jewifdo,TX,34319
67,Ronald Stone,agu@junkepi.mm,(985) 307-1198,Noaz Manor,Nodepta,ID,29135
68,Marian May,otdumi@keb.mt,(406) 460-3876,Evlo Extension,Nabetha,DE,64175
69,Ian Robbins,uvku@luhisri.cm,(656) 617-3777,Etgi Street,Nedagal,ND,60843
70,Annie Beck,ur@bufse.et,(677) 512-7072,Leba Trail,Joimcuc,WV,92692
71,Rosetta Shelton,pefud@fozelu.gm,(263) 727-5020,Ezulij River,Toruvel,MA,45873
72,Rodney Ross,somav@je.gb,(846) 722-5369,Hihce Grove,Hikbidpez,NE,68503
73,Douglas Floyd,fer@sip.ck,(623) 467-1119,Koer Pass,Zenpihre,NH,95989
74,Ola Edwards,ipafaeko@sis.sh,(580) 491-9839,Laczoj Parkway,Pofowuvuk,ID,85334
75,Phoebe Beck,bauho@lojut.gs,(654) 269-7713,Gujgol Turnpike,Ufigerek,OK,49364
76,Darrell Wallace,topuv@muabeus.mh,(554) 300-7565,Odokun Boulevard,Imkukma,HI,89003
77,Celia Ortiz,sab@diddi.in,(288) 894-3014,Akube Drive,Fikzepzoc,NY,05152
78,Phoebe Daniels,luhzo@unoim.bb,(869) 369-1816,Luruz River,Zeifke,MO,62472
79,Christine Vasquez,bap@da.tm,(828) 830-4263,Asipi Pass,Jecubvaf,CO,87865
80,Ellen Chapman,pe@jegik.jo,(436) 670-1420,Josreb Plaza,Nurzawoto,NM,75324
81,Danny Casey,rokgivij@vekbeja.ro,(944) 250-9572,Miuk Park,Vafate,ID,70886
82,Lula Woods,uhosi@datsisoni.mn,(406) 958-1893,Ufaju Drive,Wusnodwad,NV,94785
83,Matilda Rodriguez,osogenfa@rinecto.bo,(884) 799-6679,Ogvep Highway,Dusmocmuz,MO,45290
84,Maurice Griffith,fena@gumgalul.zw,(659) 447-1288,Lefbup Trail,Sogare,HI,95870
85,Ernest Brewer,vifpaava@ejhu.org,(707) 993-8676,Fuev Pike,Pilapo,ME,22097
86,Delia Fisher,ji@es.bf,(854) 967-6704,Socwan Key,Puonazot,MS,83242
87,Marvin Parker,du@maz.nf,(512) 770-6776,Ziser Manor,Fufzizim,WI,62158
88,Sophia Russell,nevow@jal.kr,(734) 638-8541,Agiub Way,Ukokaij,OH,99220
89,Willie Frazier,fun@asijuk.ng,(600) 319-5948,Macu Court,Kuadeza,KS,20096
90,Elsie Ball,unod@akagu.mk,(615) 562-4518,Futa Path,Jacomif,GA,18349
91,Isabella Wolfe,huv@tenac.ml,(354) 358-9697,Fuhe Extension,Aketuve,VA,19643
92,Gussie Rivera,zuric@puivovel.km,(607) 340-2888,Lojle Ridge,Dekohoz,OH,12793
93,Maude Griffith,dopkoaf@gemuhlo.mm,(373) 450-8058,Tiwtum Ridge,Sadzarip,AZ,33059
94,Susie McDaniel,fuvpu@pugnis.ml,(588) 495-2855,Veje Way,Listugej,OK,79084
95,Della Morris,pamu@tenma.kg,(517) 692-7539,Puje Road,Fipafaf,AK,85999
96,Steven Floyd,dijige@raz.fo,(501) 679-3705,Sipcol Square,Lasupi,NE,47438
97,Rebecca Lowe,matli@felazo.bd,(960) 902-6645,Rilis River,Veobudug,HI,18925
98,Lillie Moreno,mimufja@eduvu.py,(569) 949-2848,Curim Manor,Pevewa,KY,34316
99,Milton Estrada,lo@peuv.sl,(954) 761-8040,Saccif Avenue,Nolwejitu,NM,49272
100,Jason Stewart,da@lenwafdic.gs,(376) 871-8071,Gumda Key,Jihfake,AR,59084
101,Mittie Murphy,zibnit@ke.ne,(521) 771-4885,Zidbij Loop,Giwijvu,SD,46266
102,Isabel McGuire,jofazvoz@lab.wf,(386) 598-2264,Jurho Heights,Zecmuat,OK,07665
103,Lydia Rogers,avohot@pukaf.im,(758) 992-3939,Bejim Extension,Sifupocut,MA,56200
104,Tom Porter,rutzacpu@wa.nr,(239) 398-1717,Sesib Way,Moheiwi,IA,92924
105,Maggie Herrera,tafuclup@nu.pk,(461) 301-6824,Jepa Highway,Ideiwosil,SD,67033
