stud_id,first_name,last_name,birthday,gender,age,stud_email,stud_phone,stud_address,school_id,major_id
1,Ellen,Greer,3/30/1993,Female,37,finrikan@jal.eh,(508) 331-2026,Muomawur,741,6
2,Michael,Flowers,6/5/1968,Female,31,zomuk@tumi.sy,(439) 800-4434,Esifise,777,4
3,Rodney,Farmer,8/3/1965,Male,46,zogruklum@lo.sr,(935) 935-2337,Utwife,982,3
4,Ethan,Moody,3/24/1982,Male,46,legip@fuon.tw,(719) 620-8036,Nejolaca,366,6
5,Hattie,Haynes,12/15/1992,Female,52,bowhaduk@palvazi.sk,(272) 783-8908,Zujigu,398,7
6,Lucinda,Ross,1/24/1968,Female,56,ruodza@uja.mz,(783) 536-6898,Pefujutaw,782,3
7,Tillie,Huff,10/14/1990,Female,20,pufat@jajeji.do,(868) 313-5930,Daforovu,049,0
8,Arthur,Lee,11/25/1988,Female,62,iga@nu.vc,(407) 897-3898,Udiwemiz,994,7
9,Blanche,Summers,2/18/1960,Female,54,adoego@bijij.bt,(623) 538-6510,Anocowof,303,9
10,Mayme,Thomas,11/11/1989,Female,42,izilono@dod.ao,(560) 845-8281,Voabga,307,4
11,Laura,Jordan,2/10/1968,Male,39,tutice@tuvvim.zw,(462) 605-1483,Juwwofit,097,4
12,Travis,Vega,8/9/1977,Female,54,sihane@agate.uy,(373) 543-2782,Abmiiji,977,1
13,Christina,Coleman,9/29/1997,Male,32,zopaz@uznurok.is,(609) 386-8087,Kewhuusu,299,5
14,Maude,Morrison,9/17/1980,Male,55,en@ma.io,(914) 489-3870,Fafujdow,598,5
15,Nettie,Gilbert,4/13/1975,Female,64,emeehi@dib.vc,(536) 938-5161,Cajloofo,354,6
16,Maude,Todd,7/21/1955,Male,18,ebharej@bufolen.am,(652) 375-3133,Minanic,055,5
17,Minerva,Higgins,5/9/1961,Female,25,dohgir@kujtazev.mq,(229) 938-6930,Bagacni,741,2
18,Calvin,Potter,11/15/1970,Female,49,gavuz@bi.gd,(425) 585-2296,Lezeaw,550,6
19,Ronald,Harmon,2/24/1967,Male,20,ehufu@cocuwtel.ch,(439) 587-1863,Oznejef,054,7
20,Martha,Baldwin,8/27/2000,Male,57,maptipe@pacmif.pa,(370) 392-7921,Uwabosur,836,4
21,Violet,Parker,6/26/1990,Male,21,ha@asbiko.nc,(485) 276-2344,Balopti,859,9
22,Blake,Edwards,8/2/1983,Male,26,zennuva@wepviv.sr,(818) 494-8232,Idnepo,312,6
23,Alejandro,Hardy,6/2/1964,Female,28,te@ve.sl,(974) 461-7922,Sondinru,328,4
24,Craig,Mendoza,9/23/1978,Female,56,eg@aladhoz.ls,(972) 657-2732,Pevkiwlek,667,3
25,Ethel,Flowers,12/21/1977,Female,65,zo@wad.lb,(981) 775-6169,Pakcuzuj,734,4
26,Ann,Elliott,12/15/1987,Female,37,maczibja@hunak.zm,(413) 958-6431,Fawipid,108,2
27,Nell,Jenkins,7/5/1972,Female,21,achi@egva.hk,(234) 552-2183,Bemdocad,181,8
28,Lucinda,Dean,4/11/1965,Female,64,sok@ne.mt,(805) 670-9388,Nehminek,806,9
29,Winnie,Black,12/27/1987,Male,55,uvliv@volrolot.pf,(806) 647-4412,Awafahru,699,2
30,Helen,Parker,12/11/1983,Female,31,suhazalub@lonam.sz,(652) 843-1303,Aroafvo,629,8
31,Edna,Gibson,9/25/1985,Female,27,moroven@ketivene.mc,(481) 961-3963,Rugnarat,298,0
32,Aaron,Spencer,1/9/1985,Female,47,moucah@hi.kw,(771) 914-9833,Vudrebwih,149,4
33,Donald,Dennis,3/24/1998,Male,55,jifev@errios.mp,(543) 317-4266,Zepazara,581,1
34,Nathaniel,Hodges,11/2/1970,Female,45,ruwih@gu.sx,(604) 245-9830,Bovtahit,732,3
35,Evan,Singleton,10/17/2002,Male,27,lij@davup.cg,(463) 388-7963,Wecipag,448,1
36,Leona,Brewer,3/4/1980,Female,62,mu@gen.sy,(646) 385-6170,Ahidugu,856,9
37,Eleanor,Drake,1/11/1958,Female,65,woj@ve.hr,(956) 421-8003,Mevevu,022,2
38,Mable,Osborne,5/8/1956,Male,52,rowbif@du.pe,(763) 617-9444,Bafazma,049,5
39,Micheal,Burke,8/21/1985,Male,35,cahegne@ce.nr,(918) 269-7237,Ucacupa,302,3
40,Leona,Copeland,11/16/1968,Female,19,hetfunice@rosam.ax,(727) 298-1483,Wekoglu,817,4
41,Ronnie,Marsh,2/6/1970,Female,26,ogafajwat@fibwev.vc,(846) 972-9296,Ligufus,152,4
42,Gavin,Bowen,11/30/1987,Female,35,babronge@ib.sy,(383) 890-6583,Jadralef,831,9
43,Evelyn,Kelly,5/30/1967,Male,55,owsaj@lojgamce.ec,(476) 341-6469,Jocihri,929,0
44,Myrtie,Graves,2/6/1995,Male,39,zadnowi@kohla.lk,(477) 916-4835,Nuluwe,653,8
45,Ollie,Harris,2/6/1973,Male,55,sopwijjek@putil.gd,(523) 493-3769,Elderha,024,2
46,Dorothy,Oliver,9/18/1980,Male,43,awu@wapo.ss,(252) 210-2989,Digete,020,9
47,Alma,Richards,6/27/1997,Female,65,su@zos.ba,(546) 611-1751,Nuhideh,646,2
48,May,Dixon,9/2/1976,Female,50,semaluw@ji.tf,(408) 327-5674,Deminto,518,6
49,Katherine,Sherman,1/26/1978,Female,28,he@utetovas.mu,(218) 811-9727,Tivsufog,009,9
50,Lela,Ferguson,8/19/1963,Female,57,saratogu@zakulevig.ir,(317) 333-8578,Epojaggi,625,5
51,Katherine,Gomez,3/24/1961,Male,45,jov@ijuguskav.om,(552) 758-1277,Elluen,041,5
52,Amanda,Reynolds,7/15/1972,Male,31,nef@nehja.pt,(782) 930-1063,Kohvokiw,269,4
53,Lelia,Gross,2/10/1959,Male,38,fe@jik.sz,(756) 392-8709,Difokut,354,2
54,Ina,Moran,12/6/1986,Male,34,ejevehpe@ajlenhi.tf,(289) 993-8087,Owevutsis,900,9
55,Max,Garner,2/3/1977,Male,48,geza@jow.do,(811) 372-8799,Isripuj,886,3
56,Susan,Morton,5/28/1956,Female,30,kauzoka@nad.cm,(248) 659-4987,Cuhemel,210,6
57,Kate,Hernandez,7/28/1956,Female,50,sezu@ebgir.pe,(804) 747-6194,Coggibo,284,3
58,Theodore,Boyd,11/30/1984,Female,32,udahiuz@roib.py,(418) 634-4341,Razulan,756,5
59,Hannah,Greene,7/17/1995,Female,44,hido@zirigo.be,(903) 208-1419,Giozget,985,4
60,Blake,Alvarez,4/12/1963,Female,21,gauf@pimdes.co,(978) 446-3985,Soghedul,057,9
61,Adrian,Burns,8/31/1968,Female,34,negpe@tu.sk,(724) 917-6622,Bipgemid,413,1
62,Lydia,Holmes,8/3/1966,Male,21,gapaw@wuknijco.sg,(733) 393-3732,Pilikgu,538,4
63,Edwin,Parsons,1/3/1997,Male,28,gucu@po.je,(329) 867-5143,Cowkimlop,310,9
64,Curtis,Santiago,2/11/1959,Female,56,cejerilo@nev.al,(609) 539-7211,Amiweepo,080,2
65,Marc,Flores,3/10/1985,Male,36,up@pem.ec,(482) 553-1227,Zuadaz,485,3
66,Jimmy,Fuller,3/26/1996,Female,62,lof@ipu.mz,(271) 861-5132,Kobebajo,225,4
67,Bruce,Ramsey,6/1/1985,Female,62,lu@tufmek.cy,(623) 895-3650,Macoviv,434,5
68,Darrell,Gonzalez,9/17/1970,Female,31,pawow@capzugwif.uz,(407) 911-1102,Wekiej,123,4
69,Sarah,Hansen,1/10/1996,Female,34,nazjazgij@neuzuuc.md,(650) 764-1441,Kujuruz,092,3
70,Joshua,Barnes,12/23/1998,Male,20,ilsu@wan.st,(824) 683-5349,Neglifuh,484,2
71,Ophelia,Woods,5/5/2000,Male,20,nak@remem.az,(252) 581-2235,Paztoipo,697,3
72,Larry,Blake,11/29/1987,Female,25,fev@ijeakib.ki,(330) 764-8157,Wohdarzen,988,1
73,Hannah,Norris,8/2/1966,Male,42,devna@oji.bb,(725) 211-3791,Uhcusog,221,7
74,Benjamin,Bishop,11/9/1958,Male,43,pucomfir@ma.gs,(235) 914-3389,Ikfununo,113,1
75,Aiden,King,6/12/1969,Male,51,jacsitje@ga.an,(432) 519-6643,Nemabfan,617,7
76,Lucinda,Burton,10/26/1986,Male,51,depriban@apupocum.ee,(467) 822-1167,Tapwejvo,482,3
77,Bill,Herrera,4/11/1981,Female,58,roowo@pibru.de,(348) 463-1526,Ceikaep,851,2
78,Lee,Romero,4/28/1995,Female,61,if@mopvioz.tj,(843) 352-5457,Secvogmiv,324,0
79,Minnie,Medina,4/29/1995,Male,34,sut@kecju.hu,(507) 653-3936,Vuthoudi,789,2
80,Jane,Fowler,1/14/2001,Female,18,gohuca@ufkaw.tg,(918) 225-5882,Ruvegigi,250,7
81,Travis,Casey,6/1/2002,Female,61,fih@taazof.ph,(354) 728-3243,Izetibop,685,5
82,Rachel,Neal,1/30/1963,Male,41,iszifkud@ehu.it,(652) 853-8813,Habadecun,242,3
83,Marion,Summers,9/21/1985,Male,55,hekco@juduci.ee,(487) 571-8448,Vulafu,266,4
84,Manuel,Page,5/15/1982,Female,33,feca@zawhaltek.fj,(206) 350-8662,Cadajefo,943,9
85,Tyler,Vargas,6/20/1961,Male,18,ojigeisi@ep.bq,(212) 548-6713,Ebilimi,239,3
86,Lily,Burton,2/25/1970,Male,45,gum@midice.dm,(326) 588-8595,Efenago,877,9
87,Olga,McGee,6/25/1973,Female,36,fo@abbe.pf,(467) 689-8839,Gavnozzuz,302,8
88,Loretta,Hines,7/13/1959,Male,27,kip@desoso.re,(216) 796-4528,Patetu,015,1
89,Alfred,Owens,11/6/1957,Male,25,dom@guhcuoh.wf,(331) 703-7951,Oraibulu,993,6
90,Lester,Pope,1/25/1959,Female,20,facfel@puczic.hk,(209) 229-2929,Meselvu,515,9
91,Katie,Chavez,6/24/1959,Female,57,avimi@bumfevad.pl,(514) 682-3672,Ijuseub,001,3
92,Cecelia,Castillo,7/5/1974,Male,37,he@he.no,(885) 975-4888,Bucfine,098,0
93,Lou,Peterson,1/17/1982,Female,21,ul@mok.rs,(545) 297-5081,Locardar,498,4
94,Catherine,Perez,2/19/1968,Male,63,da@uti.gr,(616) 200-6963,Zeemmi,955,3
95,Vera,Reynolds,2/15/1968,Male,59,ucuisiza@ucufati.gf,(848) 511-1398,Nijekhof,492,7
96,Mae,Martin,6/12/1985,Male,21,cacgah@gicgek.bf,(216) 832-8667,Muharuc,269,6
97,Vernon,Robertson,7/21/1973,Male,62,butegpi@ha.gp,(240) 656-9919,Gecusog,774,9
98,Frederick,Rivera,1/18/1993,Female,43,ha@sarcivuh.na,(484) 544-2584,Vopitse,894,0
99,Lenora,Todd,4/26/1977,Male,25,surojo@abimazu.gh,(985) 873-1077,Zolwustom,545,7
100,Craig,Reid,10/14/1987,Female,33,joap@wuvatlo.fk,(333) 550-7959,Rokwodi,728,3
101,Benjamin,Christensen,5/28/1968,Male,22,vahow@bep.hu,(667) 947-4291,Tunaup,507,7
102,Zachary,Schwartz,11/5/1962,Male,32,sa@cubju.sl,(956) 822-3931,Faibiho,579,0
103,Bradley,Johnson,9/18/1990,Female,60,iwuvi@titomoj.tz,(557) 839-4411,Wuvute,519,6
104,Eula,Williamson,11/23/1998,Female,40,wopeju@zacuz.vg,(532) 237-7651,Notifje,854,5
105,Victoria,Todd,9/21/1955,Male,22,lu@cip.sh,(424) 766-1465,Kaswonelo,630,1
